price,crime_rate,resid_area,air_qual,room_num,age,teachers,poor_prop,n_hos_beds,n_hot_rooms,rainfall,avg_dist,airport_YES,waterbody_Lake,waterbody_Lake and River,waterbody_River
24.0,0.0063001125484799,32.31,0.538,6.575,65.2,24.7,4.98,5.48,11.192,23,4.0875,1,0,0,1
21.6,0.0269437354475461,37.07,0.469,6.421,78.9,22.2,9.14,7.332,12.1728,42,4.9675,0,1,0,0
34.7,0.02692426693786,37.07,0.469,7.185,61.1,22.2,4.03,7.394,46.19856,38,4.9675,0,0,0,0
33.4,0.0318571299356596,32.18,0.458,6.998,45.8,21.3,2.94,9.268,11.2672,45,6.065,1,1,0,0
36.2,0.0667704036338524,32.18,0.458,7.147,54.2,21.3,5.33,8.824,11.2896,55,6.0625,0,1,0,0
28.7,0.0294131605683495,32.18,0.458,6.43,58.7,21.3,5.21,7.174,14.2296,53,6.0600000000000005,1,0,0,0
22.9,0.0846076570348256,37.87,0.524,6.012,66.6,24.8,12.43,6.958,12.1832,41,5.56,1,0,0,1
22.1,0.1350115466558769,37.87,0.524,6.172,96.1,24.8,19.15,5.842,12.1768,56,5.95,0,1,0,0
16.5,0.191644628254806,37.87,0.524,5.631,100.0,24.8,29.93,5.93,12.132,55,6.0825,1,0,0,0
18.9,0.1570379362594552,37.87,0.524,6.004,85.9,24.8,17.1,9.478,14.1512,45,6.59,1,0,0,1
15.0,0.2028510440464281,37.87,0.524,6.377,94.3,24.8,20.45,6.0,11.12,29,6.3475,0,1,0,0
18.9,0.1110672015076523,37.87,0.524,6.009,82.9,24.8,13.27,9.278,13.1512,23,6.2250000000000005,0,0,1,0
21.7,0.0896395868849593,37.87,0.524,5.889,39.0,24.8,15.71,5.534,10.1736,57,5.452499999999999,1,0,1,0
20.4,0.4884327647141028,38.14,0.538,5.949,61.8,19.0,8.26,5.908,14.1632,39,4.7075,1,0,0,0
18.2,0.493451565108284,38.14,0.538,6.096,84.5,19.0,10.26,6.964,13.1456,49,4.465,0,0,0,0
19.9,0.4869775044907407,38.14,0.538,5.834,56.5,19.0,8.47,8.498,14.1592,28,4.4975,1,0,0,1
23.1,0.7197550310814291,38.14,0.538,5.935,29.3,19.0,6.58,5.462,10.1848,46,4.5,0,0,0,0
17.5,0.5789701354975461,38.14,0.538,5.99,81.7,19.0,14.67,5.45,11.14,56,4.26,0,1,0,0
20.2,0.5892910882451726,38.14,0.538,5.456,36.6,19.0,11.69,8.504,12.1616,41,3.795,1,0,1,0
18.2,0.5456907110920701,38.14,0.538,5.727,69.5,19.0,11.28,8.564,12.1456,27,3.8,0,0,1,0
13.6,0.8117254554853012,38.14,0.538,5.57,98.1,19.0,21.02,8.272,15.1088,44,3.7975,1,0,1,0
19.6,0.6162877342628866,38.14,0.538,5.965,89.2,19.0,13.83,9.192,14.1568,23,4.0125,1,0,0,0
15.2,0.8031085958282844,38.14,0.538,6.142,91.7,19.0,18.72,5.804,14.1216,48,3.98,1,0,0,1
14.5,0.687345382632109,38.14,0.538,5.813,100.0,19.0,19.88,7.49,13.116,29,4.095000000000001,1,1,0,0
15.6,0.5597643483283524,38.14,0.538,5.924,94.1,19.0,16.3,8.212,13.1248,27,4.4,1,1,0,0
13.9,0.6100590068254428,38.14,0.538,5.599,85.7,19.0,16.51,9.378,13.1112,35,4.455,1,0,0,1
16.6,0.5139666854625483,38.14,0.538,5.813,90.3,19.0,14.81,9.732,12.1328,59,4.682500000000001,0,1,0,0
14.8,0.6707839777866772,38.14,0.538,6.047,88.8,19.0,17.28,8.696,13.1184,20,4.4525,1,1,0,0
18.4,0.5726673869182407,38.14,0.538,6.495,94.4,19.0,12.8,5.968,15.1472,35,4.455,1,0,0,1
21.0,0.6943714308596382,38.14,0.538,6.674,87.3,19.0,11.98,9.02,12.168,50,4.24,0,0,0,1
12.7,0.7565021891227189,38.14,0.538,5.713,94.1,19.0,22.6,9.854,12.1016,34,4.2325,0,1,0,0
14.5,0.8564218244336657,38.14,0.538,6.072,100.0,19.0,13.04,9.29,12.116,23,4.175,1,0,0,0
13.2,0.8704520079168976,38.14,0.538,5.95,82.0,19.0,27.71,8.764,14.1056,25,3.9925,0,0,0,1
13.1,0.7662675223101358,38.14,0.538,5.701,95.0,19.0,18.35,8.362,15.1048,25,3.7875,1,0,0,0
13.5,0.9604300978281596,38.14,0.538,6.096,96.9,19.0,20.34,9.67,11.108,40,3.76,1,0,0,0
18.9,0.0621951525929671,35.96,0.499,5.933,68.2,20.8,9.68,9.478,11.1512,43,3.36,1,0,0,1
20.0,0.0929801947688741,35.96,0.499,5.841,61.4,20.8,11.41,7.5,15.16,39,3.3775,0,0,0,0
21.0,0.0770906623645636,35.96,0.499,5.85,41.5,20.8,8.77,8.12,10.168,21,3.935000000000001,1,0,0,1
24.2,0.1613106998822502,35.96,0.499,5.966,30.2,20.8,10.13,8.184,10.1936,21,3.8475,1,0,0,1
30.8,0.0272551800664515,32.95,0.428,6.595,21.8,21.7,4.32,6.916,12.2464,49,5.4,1,0,0,1
